;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj
A0A090I2L4;7.608757849;-0.54382029;2.577348317;-0.21099992;0.832887333;0.996629618
A0A090I2L6;61.42626736;0.19821779;0.351960559;0.563181827;0.573311077;0.996629618
A0A090I2M9;42.61387374;-0.727096755;1.375199174;-0.528721053;0.596998971;0.996629618
A0A090I2P0;27.43590309;-0.197090013;0.785984492;-0.2507556;0.802003071;0.996629618
A0A090I2R3;66.01346714;-1.913775341;1.372008022;-1.394871831;0.163054493;0.996629618
A0A090I2T3;193.4098489;-0.059242481;0.223515654;-0.265048465;0.790972127;0.996629618
A0A090I2T7;39.75721113;0.750292436;1.476397387;0.508191387;0.61131913;0.996629618
A0A090I305;27.26249312;0.191717235;0.794062013;0.241438617;0.809215185;0.996629618
A0A090I314;20.9420772;0.626827286;1.035503295;0.605335868;0.544955854;0.996629618
A0A090I345;26.99233512;-0.10547357;0.793787726;-0.132873773;0.894293209;0.996629618
A0A090I3A9;138.2812419;0.294391969;0.218899362;1.34487358;0.178666064;0.996629618
A0A090I3C5;33.62067452;0.579812341;0.647689823;0.895200636;0.370679845;0.996629618
A0A090I3H9;39.04339668;0.396392777;0.525757039;0.753946687;0.450881235;0.996629618
A0A090I3I6;34.49454296;0.501002765;0.655338465;0.764494671;0.444572511;0.996629618
A0A090I3J1;46.29224865;0.04341889;0.451673056;0.096129024;0.9234181;0.996629618
A0A090I3J2;120.881283;0.251394308;0.624492408;0.40255783;0.687273538;0.996629618
A0A090I3L9;13.21659274;-0.401157029;2.171910087;-0.184702411;0.853462455;0.996629618
A0A090I3Q7;23.84155849;0.098278376;1.485697484;0.066149655;0.947258678;0.996629618
A0A090I3S2;12.44239004;-0.728557997;1.627748759;-0.447586271;0.654451814;0.996629618
A0A090I3S6;34.00926448;-0.88406768;0.88185153;-1.002513065;0.31609586;0.996629618
A0A090I3U3;11.73219049;-0.329224247;1.660782641;-0.198234398;0.842861676;0.996629618
A0A090I3V1;46.46532094;0.435305626;0.442722558;0.983246998;0.325485889;0.996629618
